procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 5  0      0 121835984   4188 319116    0    0   202     4  121  112  1  1 98  0  0 2025-12-29 18:28:56
 2  0      0 121822960   4188 321864    0    0  1376    23 1707 1114  1  0 99  0  0 2025-12-29 18:28:57
 1  0      0 121821632   4188 321884    0    0     0     4  825  572  0  0 100  0  0 2025-12-29 18:28:58
 0  0      0 121821392   4188 321884    0    0     0     0  770  525  0  0 100  0  0 2025-12-29 18:28:59
 0  0      0 121821584   4188 321892    0    0     0     0  681  436  0  0 100  0  0 2025-12-29 18:29:00
 3  0      0 121820832   4188 321892    0    0     0     0 1424 1052  0  0 99  0  0 2025-12-29 18:29:01
 0  0      0 121816048   4188 321984    0    0    48     0 2703 2016  1  1 98  0  0 2025-12-29 18:29:02
 0  0      0 121816768   4188 322024    0    0    52    10 1378  850  0  0 99  0  0 2025-12-29 18:29:03
 0  0      0 121817200   4188 321964    0    0     0     0  791  528  0  0 100  0  0 2025-12-29 18:29:04
 0  0      0 121866256   4188 321968    0    0     0     0 2690 3636  5  0 95  0  0 2025-12-29 18:29:05
 0  0      0 121854512   4188 321972    0    0     0     0 1643  966  1  0 98  0  0 2025-12-29 18:29:06
 1  0      0 121852936   4188 321992    0    0     0     0 1134  702  0  0 99  0  0 2025-12-29 18:29:07
 1  0      0 121853344   4188 322004    0    0     0     0 1326  681  0  0 100  0  0 2025-12-29 18:29:08
 0  0      0 121850624   4188 322008    0    0     0     0 1143  779  0  0 99  0  0 2025-12-29 18:29:09
 0  0      0 121846832   4188 322012    0    0     0     0 2117 1589  1  1 99  0  0 2025-12-29 18:29:10
 0  1      0 121558288   4188 534972    0    0 210504     0 8338 11789  4  2 92  3  0 2025-12-29 18:29:11
 0  0      0 121473048   4188 567300    0    0 32180    17 3416 2443  7  1 92  0  0 2025-12-29 18:29:12
 2  0      0 121495824   4188 607092    0    0    40   578 26081 9269  6  2 93  0  0 2025-12-29 18:29:13
 1  0      0 121446544   4188 663308    0    0     9 91112 30266 7660  6  3 91  0  0 2025-12-29 18:29:14
 1  0      0 121424448   4188 678788    0    0  7756 14499 10295 5782  6  2 92  0  0 2025-12-29 18:29:15
 1  0      0 121378256   4188 723452    0    0  1064     0 2501 1020  8  1 91  0  0 2025-12-29 18:29:16
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 121255064   4188 805404    0    0 32333   711 4776 6656  5  2 92  1  0 2025-12-29 18:29:17
 1  0      0 121267616   4188 808664    0    0  4271 113853 4115 6998  6  2 92  0  0 2025-12-29 18:29:18
 1  0      0 121256160   4188 818936    0    0    17 12200 2352 1324  6  3 91  0  0 2025-12-29 18:29:19
 1  0      0 121254752   4188 819164    0    0    16     8 2371 1354  9  0 91  0  0 2025-12-29 18:29:20
 1  0      0 121095160   4188 819164    0    0     0     0 2608 1242  9  1 91  0  0 2025-12-29 18:29:21
 1  0      0 121064160   4188 819176    0    0     0     0 2426 1088  9  0 91  0  0 2025-12-29 18:29:22
 1  0      0 121058536   4188 819180    0    0     0     0 2763 1172 10  0 89  0  0 2025-12-29 18:29:23
 1  0      0 121054552   4188 819148    0    0     0     0 2068  670  8  0 91  0  0 2025-12-29 18:29:24
 1  0      0 121054640   4188 819156    0    0     0     0 1904  679  8  0 91  0  0 2025-12-29 18:29:25
 2  0      0 121053312   4188 819156    0    0     0     0 1975  774  9  0 91  0  0 2025-12-29 18:29:26
 1  0      0 121050960   4188 819160    0    0     0  8588 2759 1576 10  0 90  0  0 2025-12-29 18:29:27
 1  0      0 121050320   4188 819168    0    0     0     0 1773  597  9  0 91  0  0 2025-12-29 18:29:28
 1  0      0 121051040   4188 818416    0    0     0     0 2023  809  9  0 91  0  0 2025-12-29 18:29:29
 1  0      0 121050736   4188 818320    0    0     0     0 1814  636  8  0 91  0  0 2025-12-29 18:29:30
 2  0      0 121046416   4188 818328    0    0     0     0 2355  956  9  0 91  0  0 2025-12-29 18:29:31
 1  0      0 121047088   4188 818336    0    0     0     0 1981  733  8  0 91  0  0 2025-12-29 18:29:32
 1  0      0 121046008   4188 818344    0    0     0     0 2041  724  9  0 91  0  0 2025-12-29 18:29:33
 1  0      0 121046128   4188 818352    0    0     0     0 1910  647  9  0 91  0  0 2025-12-29 18:29:34
 1  0      0 121046144   4188 818352    0    0     0     0 1762  613  8  0 91  0  0 2025-12-29 18:29:35
 1  0      0 121045392   4188 818356    0    0     0     0 2267 1088  9  0 91  0  0 2025-12-29 18:29:36
 2  0      0 121024080   4188 818364    0    0     0     0 2493 1031  9  0 90  0  0 2025-12-29 18:29:37
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 121018312   4188 818336    0    0     0     0 3689 3514 12  0 88  0  0 2025-12-29 18:29:38
 2  0      0 121013712   4188 818340    0    0     0     0 1754  590  8  0 91  0  0 2025-12-29 18:29:39
 2  0      0 121016664   4188 829252    0    0   829 21176 2303 2071  8  1 91  0  0 2025-12-29 18:29:40
 2  0      0 121205472   4188 839820    0    0   921 27963 4670 5953  8  1 91  0  0 2025-12-29 18:29:41
 2  0      0 121154880   4188 888704    0    0     0     0 4050 4272  9  1 91  0  0 2025-12-29 18:29:42
 2  0      0 121092840   4188 942544    0    0   120   236 3238 2829  9  1 90  0  0 2025-12-29 18:29:43
 3  0      0 121035848   4188 999588    0    0     4    60 2931 2513  8  0 91  0  0 2025-12-29 18:29:44
 2  0      0 120987736   4188 1046428    0    0  2100  3263 4840 6084  8  1 91  0  0 2025-12-29 18:29:45
 2  0      0 120931632   4188 1102716    0    0     0     0 4483 4899  9  1 91  0  0 2025-12-29 18:29:46
 4  0      0 120998672   4188 1146392    0    0  6808  1847 10549 12642  9  4 87  0  0 2025-12-29 18:29:47
 1  0      0 121005440   4188 1147336    0    0  1212  2455 7411 7580  1  3 96  0  0 2025-12-29 18:29:48
 1  0      0 121005488   4188 1147336    0    0     0     0  995  744  0  0 100  0  0 2025-12-29 18:29:49
 1  0      0 121005664   4188 1147340    0    0     0     0  726  614  0  0 100  0  0 2025-12-29 18:29:50
 2  0      0 120998048   4188 1147344    0    0     0     0 1399 1268  1  0 99  0  0 2025-12-29 18:29:51
